Excel Name,Excel Affiliation,Excel Country,Candidate ORCID,API Name,API Affiliation,API Country,Name Score,Affiliation Score,Country Match,Overall Score,Recommendation,Sources
Rossitza Goleva,New Bulgarian University,Bulgaria (BG),0000-0002-6268-0756,Rossitza Goleva,,,100.0,0,No,40.0,NO_MATCH,"ORCID, OpenAlex, Crossref"
Rossitza Goleva,New Bulgarian University,Bulgaria (BG),0000-0003-2782-3739,Jugoslav Achkoski,,,31.2,0,No,12.5,NO_MATCH,Crossref
Anh Tuan Trinh,EIT Digital Hungary,Hungary (HU),0000-0003-1473-1958,Anh‐Tuan Trinh,Norwegian University of Science and Technology,NO,64.3,47.4,No,42.3,NO_MATCH,"ORCID, OpenAlex"
Anh Tuan Trinh,EIT Digital Hungary,Hungary (HU),0009-0006-7899-5927,Anh Tuan Trinh ,,,100.0,0,No,40.0,NO_MATCH,ORCID
Anh Tuan Trinh,EIT Digital Hungary,Hungary (HU),0000-0003-3487-2483,Tuan Anh Trinh,,,100.0,0,No,40.0,NO_MATCH,ORCID
Anh Tuan Trinh,EIT Digital Hungary,Hungary (HU),0000-0002-1822-6994,TUAN ANH TRINH,,,100.0,0,No,40.0,NO_MATCH,ORCID
Anh Tuan Trinh,EIT Digital Hungary,Hungary (HU),0000-0002-0527-5674,TUAN ANH TRINH,,,100.0,0,No,40.0,NO_MATCH,ORCID
Anh Tuan Trinh,EIT Digital Hungary,Hungary (HU),0009-0002-9628-4775,Dinh Tuan Anh Trinh,,GB,84.8,0,No,33.9,NO_MATCH,ORCID
Anh Tuan Trinh,EIT Digital Hungary,Hungary (HU),0000-0002-4086-0860,Anh Trinh,,,78.3,0,No,31.3,NO_MATCH,ORCID
Anh Tuan Trinh,EIT Digital Hungary,Hungary (HU),0000-0003-0434-6423,Anh Trinh,,,78.3,0,No,31.3,NO_MATCH,ORCID
Anh Tuan Trinh,EIT Digital Hungary,Hungary (HU),0009-0007-1944-0443,Anh Trinh,,,78.3,0,No,31.3,NO_MATCH,ORCID
Anh Tuan Trinh,EIT Digital Hungary,Hungary (HU),0000-0002-3436-9186,Anh Trinh,,,78.3,0,No,31.3,NO_MATCH,ORCID
Nikolaos S. Thomaidis,University of the Aegean,Greece (EL),0000-0002-6796-6171,Nikolaos S. Thomaidis,National and Kapodistrian University of Athens,GR,100.0,81.8,No,68.6,LOW_CONFIDENCE,"ORCID, OpenAlex"
Nikolaos S. Thomaidis,University of the Aegean,Greece (EL),0000-0002-4624-4735,Nikolaos Thomaidis,,GR,92.3,0,No,36.9,NO_MATCH,ORCID
Nikolaos S. Thomaidis,University of the Aegean,Greece (EL),0009-0001-6558-9253,Nikolaos Christoforos Thomaidis,,,69.2,0,No,27.7,NO_MATCH,"ORCID, Crossref"
Nikolaos S. Thomaidis,University of the Aegean,Greece (EL),0000-0003-4439-0381,Vasileios Zeimpekis,,,40.0,0,No,16.0,NO_MATCH,Crossref
MIRJANA IVANOVIC,University of Novi Sad Faculty of Sciences,Serbia (RS),0000-0003-1946-0384,Mirjana Ivanović,University of Novi Sad,RS,100.0,100.0,No,75.0,MEDIUM_CONFIDENCE,"ORCID, OpenAlex, Crossref"
MIRJANA IVANOVIC,University of Novi Sad Faculty of Sciences,Serbia (RS),0000-0002-0010-8535,Mirjana Drenovak-Ivanović,,,78.0,0,No,31.2,NO_MATCH,"ORCID, OpenAlex"
Yosi KELLER,Bar Ilan University,Israel (IL),0000-0002-2876-2790,Yosi Keller,Bar-Ilan University,IL,100.0,94.7,No,73.2,MEDIUM_CONFIDENCE,"ORCID, OpenAlex, Crossref"
